Type,Strike,Bid,Ask,Expiration
puts,140.0,0.01,0.03,2022-01-21
puts,145.0,0.02,0.05,2022-01-21
puts,150.0,0.02,0.04,2022-01-21
puts,155.0,0.03,0.04,2022-01-21
puts,160.0,0.03,0.05,2022-01-21
puts,165.0,0.04,0.08,2022-01-21
puts,170.0,0.05,0.07,2022-01-21
puts,175.0,0.05,0.11,2022-01-21
puts,180.0,0.07,0.09,2022-01-21
puts,185.0,0.07,0.11,2022-01-21
puts,190.0,0.1,0.15,2022-01-21
puts,195.0,0.11,0.15,2022-01-21
puts,200.0,0.12,0.2,2022-01-21
puts,205.0,0.15,0.24,2022-01-21
puts,210.0,0.17,0.27,2022-01-21
puts,215.0,0.2,0.3,2022-01-21
puts,220.0,0.23,0.32,2022-01-21
puts,225.0,0.27,0.37,2022-01-21
puts,230.0,0.31,0.41,2022-01-21
puts,235.0,0.35,0.46,2022-01-21
puts,240.0,0.4,0.45,2022-01-21
puts,245.0,0.46,0.56,2022-01-21
puts,250.0,0.53,0.62,2022-01-21
puts,255.0,0.6,0.7,2022-01-21
puts,260.0,0.68,0.73,2022-01-21
puts,265.0,0.78,0.85,2022-01-21
puts,270.0,0.88,0.98,2022-01-21
puts,275.0,1.02,1.12,2022-01-21
puts,280.0,1.17,1.24,2022-01-21
puts,285.0,1.36,1.48,2022-01-21
puts,290.0,1.61,1.7,2022-01-21
puts,295.0,1.89,2.01,2022-01-21
puts,300.0,2.28,2.37,2022-01-21
puts,305.0,2.8,2.83,2022-01-21
puts,310.0,3.25,3.45,2022-01-21
puts,315.0,3.95,4.1,2022-01-21
puts,320.0,4.85,5.05,2022-01-21
puts,325.0,5.95,6.15,2022-01-21
puts,330.0,7.35,7.5,2022-01-21
puts,335.0,9.0,9.2,2022-01-21
puts,340.0,10.95,11.25,2022-01-21
puts,345.0,13.25,13.45,2022-01-21
puts,350.0,16.0,16.3,2022-01-21
puts,355.0,19.1,19.25,2022-01-21
puts,360.0,22.5,22.75,2022-01-21
puts,365.0,26.35,26.6,2022-01-21
puts,370.0,30.2,30.75,2022-01-21
puts,375.0,34.55,35.0,2022-01-21
puts,380.0,38.45,40.1,2022-01-21
puts,385.0,43.35,44.95,2022-01-21
puts,390.0,48.1,48.85,2022-01-21
puts,395.0,95.75,96.65,2022-01-21
puts,400.0,57.2,59.85,2022-01-21
puts,405.0,62.45,63.85,2022-01-21
puts,410.0,67.25,69.15,2022-01-21
puts,415.0,72.3,73.75,2022-01-21
puts,420.0,77.6,78.7,2022-01-21
puts,425.0,82.5,83.65,2022-01-21
puts,430.0,145.15,149.5,2022-01-21
puts,435.0,144.3,149.0,2022-01-21
puts,440.0,149.4,154.0,2022-01-21
puts,450.0,107.35,108.45,2022-01-21
call,145.0,190.3,191.75,2022-02-18
call,150.0,191.3,195.4,2022-02-18
call,155.0,180.1,181.95,2022-02-18
call,160.0,182.1,183.45,2022-02-18
call,165.0,171.1,172.45,2022-02-18
call,170.0,172.1,173.35,2022-02-18
call,175.0,161.1,162.45,2022-02-18
call,180.0,162.0,163.4,2022-02-18
call,185.0,156.95,158.65,2022-02-18
call,195.0,146.85,149.6,2022-02-18
call,200.0,142.55,143.35,2022-02-18
call,205.0,137.6,138.65,2022-02-18
call,210.0,132.65,134.05,2022-02-18
call,215.0,127.55,129.25,2022-02-18
call,220.0,122.85,123.7,2022-02-18
call,225.0,117.85,118.8,2022-02-18
call,230.0,112.95,114.2,2022-02-18
call,235.0,108.05,109.2,2022-02-18
call,240.0,103.15,104.0,2022-02-18
call,245.0,98.2,99.65,2022-02-18
call,250.0,93.3,94.6,2022-02-18
call,255.0,88.5,89.9,2022-02-18
call,260.0,83.6,84.7,2022-02-18
call,265.0,78.95,79.9,2022-02-18
call,270.0,73.85,75.55,2022-02-18
call,275.0,69.15,70.15,2022-02-18
call,280.0,64.65,65.65,2022-02-18
call,285.0,59.75,60.95,2022-02-18
call,290.0,55.85,56.45,2022-02-18
call,295.0,50.9,52.05,2022-02-18
call,300.0,46.95,47.6,2022-02-18
call,305.0,42.75,43.25,2022-02-18
call,310.0,38.6,39.45,2022-02-18
call,315.0,34.1,35.1,2022-02-18
call,320.0,30.55,31.05,2022-02-18
call,325.0,27.15,27.5,2022-02-18
call,330.0,23.85,24.1,2022-02-18
call,335.0,20.7,21.0,2022-02-18
call,340.0,17.8,18.05,2022-02-18
call,345.0,15.1,15.45,2022-02-18
call,350.0,12.75,13.05,2022-02-18
call,355.0,10.75,11.05,2022-02-18
call,360.0,9.0,9.2,2022-02-18
call,365.0,7.45,7.7,2022-02-18
call,370.0,6.15,6.45,2022-02-18
call,375.0,5.1,5.35,2022-02-18
call,380.0,4.2,4.4,2022-02-18
call,385.0,3.45,3.65,2022-02-18
call,390.0,2.83,3.05,2022-02-18
call,395.0,2.4,2.5,2022-02-18
call,400.0,2.0,2.11,2022-02-18
call,405.0,1.67,1.79,2022-02-18
call,410.0,1.41,1.51,2022-02-18
call,415.0,1.2,1.3,2022-02-18
call,420.0,1.02,1.12,2022-02-18
call,425.0,0.88,0.98,2022-02-18
call,430.0,0.75,0.88,2022-02-18
call,435.0,0.66,0.78,2022-02-18
call,440.0,0.58,0.71,2022-02-18
call,450.0,0.45,0.59,2022-02-18
call,460.0,0.39,0.47,2022-02-18
call,470.0,0.34,0.39,2022-02-18
call,480.0,0.3,0.33,2022-02-18
call,490.0,0.27,0.28,2022-02-18
call,500.0,0.24,0.25,2022-02-18
puts,145.0,0.06,0.13,2022-02-18
puts,150.0,0.02,0.13,2022-02-18
puts,155.0,0.1,0.16,2022-02-18
puts,160.0,0.1,0.19,2022-02-18
puts,165.0,0.08,0.2,2022-02-18
puts,170.0,0.1,0.23,2022-02-18
puts,175.0,0.13,0.26,2022-02-18
puts,180.0,0.16,0.29,2022-02-18
puts,185.0,0.19,0.32,2022-02-18
puts,190.0,0.23,0.34,2022-02-18
puts,195.0,0.28,0.38,2022-02-18
puts,200.0,0.34,0.38,2022-02-18
puts,205.0,0.37,0.49,2022-02-18
puts,210.0,0.45,0.5,2022-02-18
puts,215.0,0.5,0.54,2022-02-18
puts,220.0,0.57,0.59,2022-02-18
puts,225.0,0.65,0.74,2022-02-18
puts,230.0,0.71,0.73,2022-02-18
puts,235.0,0.8,0.92,2022-02-18
puts,240.0,0.89,1.02,2022-02-18
puts,245.0,1.01,1.07,2022-02-18
puts,250.0,1.13,1.27,2022-02-18
puts,255.0,1.27,1.42,2022-02-18
puts,260.0,1.43,1.58,2022-02-18
puts,265.0,1.62,1.77,2022-02-18
puts,270.0,1.83,1.99,2022-02-18
puts,275.0,2.12,2.26,2022-02-18
puts,280.0,2.39,2.57,2022-02-18
puts,285.0,2.85,2.95,2022-02-18
puts,290.0,3.2,3.4,2022-02-18
puts,295.0,3.8,3.95,2022-02-18
puts,300.0,4.4,4.55,2022-02-18
puts,305.0,5.15,5.35,2022-02-18
puts,310.0,5.95,6.2,2022-02-18
puts,315.0,7.0,7.25,2022-02-18
puts,320.0,8.2,8.45,2022-02-18
puts,325.0,9.6,9.85,2022-02-18
puts,330.0,11.2,11.55,2022-02-18
puts,335.0,13.1,13.4,2022-02-18
puts,340.0,15.15,15.5,2022-02-18
puts,345.0,17.65,17.95,2022-02-18
puts,350.0,20.4,20.65,2022-02-18
puts,355.0,23.35,23.65,2022-02-18
puts,360.0,26.5,26.85,2022-02-18
puts,365.0,30.0,30.3,2022-02-18
puts,370.0,33.75,34.0,2022-02-18
puts,375.0,37.65,37.95,2022-02-18
puts,380.0,41.45,42.2,2022-02-18
puts,385.0,45.75,46.45,2022-02-18
puts,400.0,59.0,59.9,2022-02-18
puts,405.0,62.75,65.6,2022-02-18
puts,410.0,68.45,69.85,2022-02-18
call,80.0,261.85,263.05,2022-03-18
call,85.0,256.9,258.05,2022-03-18
call,90.0,251.55,253.25,2022-03-18
call,95.0,246.6,248.25,2022-03-18
call,100.0,241.65,243.25,2022-03-18
call,105.0,235.6,239.35,2022-03-18
call,110.0,231.8,233.1,2022-03-18
call,115.0,226.8,228.1,2022-03-18
call,120.0,221.65,223.3,2022-03-18
call,125.0,217.05,218.3,2022-03-18
call,130.0,212.05,213.2,2022-03-18
call,135.0,207.1,208.35,2022-03-18
call,140.0,201.75,203.4,2022-03-18
call,145.0,196.0,199.35,2022-03-18
call,150.0,190.75,194.35,2022-03-18
call,155.0,186.8,188.5,2022-03-18
call,160.0,182.25,183.3,2022-03-18
call,165.0,177.25,178.35,2022-03-18
call,170.0,171.6,174.55,2022-03-18
call,175.0,167.0,169.75,2022-03-18
call,180.0,162.45,163.65,2022-03-18
call,185.0,157.4,158.45,2022-03-18
call,190.0,152.5,153.6,2022-03-18
call,195.0,147.15,148.85,2022-03-18
call,200.0,142.55,143.7,2022-03-18
call,205.0,137.6,138.75,2022-03-18
call,210.0,132.8,133.85,2022-03-18
call,215.0,127.8,128.9,2022-03-18
call,220.0,122.8,124.0,2022-03-18
call,225.0,117.6,119.3,2022-03-18
call,230.0,112.95,114.2,2022-03-18
call,235.0,107.05,110.55,2022-03-18
call,240.0,103.3,104.65,2022-03-18
call,245.0,98.55,99.6,2022-03-18
call,250.0,93.8,95.55,2022-03-18
call,255.0,89.0,90.2,2022-03-18
call,260.0,84.25,85.65,2022-03-18
call,265.0,79.35,80.7,2022-03-18
call,270.0,75.0,75.75,2022-03-18
call,275.0,70.45,71.35,2022-03-18
call,280.0,65.45,66.55,2022-03-18
call,285.0,61.35,62.05,2022-03-18
call,290.0,56.75,57.5,2022-03-18
call,295.0,52.75,53.5,2022-03-18
call,300.0,48.4,49.0,2022-03-18
call,305.0,43.5,44.8,2022-03-18
call,310.0,39.8,40.95,2022-03-18
call,315.0,36.5,36.8,2022-03-18
call,320.0,32.9,33.25,2022-03-18
call,325.0,29.05,29.65,2022-03-18
call,330.0,25.9,26.35,2022-03-18
call,335.0,23.1,23.3,2022-03-18
call,340.0,20.05,20.5,2022-03-18
call,345.0,17.65,17.85,2022-03-18
call,350.0,15.25,15.55,2022-03-18
call,355.0,13.1,13.35,2022-03-18
call,360.0,11.25,11.55,2022-03-18
call,365.0,9.6,9.85,2022-03-18
call,370.0,8.1,8.3,2022-03-18
call,375.0,6.8,7.05,2022-03-18
call,380.0,5.9,6.0,2022-03-18
call,385.0,4.9,5.1,2022-03-18
call,390.0,4.15,4.35,2022-03-18
call,395.0,3.5,3.7,2022-03-18
call,400.0,3.0,3.1,2022-03-18
call,405.0,2.56,2.67,2022-03-18
call,410.0,2.14,2.29,2022-03-18
call,415.0,1.83,1.98,2022-03-18
call,420.0,1.62,1.72,2022-03-18
call,425.0,1.42,1.51,2022-03-18
call,430.0,1.22,1.33,2022-03-18
call,435.0,1.09,1.18,2022-03-18
call,440.0,0.92,1.04,2022-03-18
call,450.0,0.73,0.87,2022-03-18
call,460.0,0.63,0.74,2022-03-18
call,470.0,0.49,0.64,2022-03-18
call,480.0,0.45,0.52,2022-03-18
call,490.0,0.37,0.48,2022-03-18
call,500.0,0.32,0.4,2022-03-18
puts,80.0,0.0,0.07,2022-03-18
puts,85.0,0.0,0.18,2022-03-18
puts,90.0,0.0,0.09,2022-03-18
puts,95.0,0.0,0.09,2022-03-18
puts,100.0,0.0,0.09,2022-03-18
puts,105.0,0.02,0.1,2022-03-18
puts,110.0,0.02,0.11,2022-03-18
puts,115.0,0.03,0.12,2022-03-18
puts,120.0,0.05,0.13,2022-03-18
puts,125.0,0.02,0.14,2022-03-18
puts,130.0,0.1,0.16,2022-03-18
puts,135.0,0.1,0.18,2022-03-18
puts,140.0,0.08,0.21,2022-03-18
puts,145.0,0.1,0.22,2022-03-18
puts,150.0,0.1,0.24,2022-03-18
puts,155.0,0.18,0.27,2022-03-18
puts,160.0,0.15,0.3,2022-03-18
puts,165.0,0.17,0.33,2022-03-18
puts,170.0,0.21,0.37,2022-03-18
puts,175.0,0.25,0.42,2022-03-18
puts,180.0,0.3,0.45,2022-03-18
puts,185.0,0.37,0.5,2022-03-18
puts,190.0,0.41,0.57,2022-03-18
puts,195.0,0.47,0.63,2022-03-18
puts,200.0,0.53,0.7,2022-03-18
puts,205.0,0.61,0.77,2022-03-18
puts,210.0,0.68,0.85,2022-03-18
puts,215.0,0.77,0.93,2022-03-18
puts,220.0,0.86,1.03,2022-03-18
puts,225.0,0.96,1.03,2022-03-18
puts,230.0,1.08,1.15,2022-03-18
puts,235.0,1.19,1.28,2022-03-18
puts,240.0,1.34,1.41,2022-03-18
puts,245.0,1.49,1.64,2022-03-18
puts,250.0,1.67,1.75,2022-03-18
puts,255.0,1.87,2.04,2022-03-18
puts,260.0,2.08,2.26,2022-03-18
puts,265.0,2.4,2.54,2022-03-18
puts,270.0,2.67,2.86,2022-03-18
puts,275.0,3.0,3.25,2022-03-18
puts,280.0,3.45,3.65,2022-03-18
puts,285.0,3.9,4.15,2022-03-18
puts,290.0,4.5,4.75,2022-03-18
puts,295.0,5.2,5.4,2022-03-18
puts,300.0,5.95,6.2,2022-03-18
puts,305.0,6.85,7.1,2022-03-18
puts,310.0,7.8,8.1,2022-03-18
puts,315.0,9.0,9.25,2022-03-18
puts,320.0,10.35,10.6,2022-03-18
puts,325.0,11.85,12.2,2022-03-18
puts,330.0,13.5,13.85,2022-03-18
puts,335.0,15.4,15.85,2022-03-18
puts,340.0,17.6,18.05,2022-03-18
puts,345.0,20.05,20.4,2022-03-18
puts,350.0,22.7,23.0,2022-03-18
puts,355.0,25.55,25.9,2022-03-18
puts,360.0,28.7,29.0,2022-03-18
puts,365.0,32.0,32.35,2022-03-18
puts,370.0,35.5,35.95,2022-03-18
puts,375.0,39.2,39.65,2022-03-18
puts,380.0,43.25,43.8,2022-03-18
puts,385.0,47.25,48.15,2022-03-18
puts,390.0,51.35,52.05,2022-03-18
puts,395.0,55.8,56.65,2022-03-18
puts,400.0,60.3,60.75,2022-03-18
puts,405.0,96.1,97.9,2022-03-18
puts,410.0,79.85,82.4,2022-03-18
puts,415.0,73.85,75.4,2022-03-18
puts,420.0,130.0,134.0,2022-03-18
puts,425.0,135.0,139.0,2022-03-18
puts,435.0,135.75,136.65,2022-03-18
puts,450.0,153.9,157.9,2022-03-18
call,145.0,197.4,198.25,2022-04-14
call,150.0,192.45,193.9,2022-04-14
call,155.0,180.1,183.85,2022-04-14
call,160.0,182.25,183.5,2022-04-14
call,165.0,176.5,180.65,2022-04-14
call,170.0,166.3,167.4,2022-04-14
call,175.0,167.25,168.55,2022-04-14
call,180.0,162.45,163.6,2022-04-14
call,185.0,157.25,158.85,2022-04-14
call,190.0,152.0,153.65,2022-04-14
call,195.0,147.3,149.0,2022-04-14
call,200.0,142.4,144.1,2022-04-14
call,205.0,136.5,139.15,2022-04-14
call,210.0,133.0,134.05,2022-04-14
call,215.0,126.8,129.65,2022-04-14
call,220.0,123.25,124.3,2022-04-14
call,225.0,117.9,119.4,2022-04-14
call,230.0,113.45,114.75,2022-04-14
call,235.0,108.2,109.7,2022-04-14
call,240.0,103.4,105.1,2022-04-14
call,245.0,99.15,100.5,2022-04-14
call,250.0,94.4,95.7,2022-04-14
call,255.0,89.65,91.1,2022-04-14
call,260.0,85.0,86.45,2022-04-14
call,265.0,80.4,81.3,2022-04-14
call,270.0,75.35,76.7,2022-04-14
call,275.0,71.5,72.2,2022-04-14
call,280.0,66.1,68.15,2022-04-14
call,285.0,62.15,63.15,2022-04-14
call,290.0,58.15,58.95,2022-04-14
call,295.0,53.05,55.1,2022-04-14
call,300.0,49.85,50.5,2022-04-14
call,305.0,45.35,46.55,2022-04-14
call,310.0,41.8,42.7,2022-04-14
call,315.0,38.45,38.75,2022-04-14
call,320.0,34.85,35.3,2022-04-14
call,325.0,31.55,31.95,2022-04-14
call,330.0,28.0,28.65,2022-04-14
call,335.0,25.3,25.6,2022-04-14
call,340.0,22.55,22.8,2022-04-14
call,345.0,19.85,20.2,2022-04-14
call,350.0,17.4,17.8,2022-04-14
call,355.0,15.4,15.75,2022-04-14
call,360.0,13.45,13.65,2022-04-14
call,365.0,11.7,11.9,2022-04-14
call,370.0,10.15,10.35,2022-04-14
call,375.0,8.75,9.0,2022-04-14
call,380.0,7.55,7.75,2022-04-14
call,385.0,6.5,6.75,2022-04-14
call,390.0,5.6,5.8,2022-04-14
call,395.0,4.8,5.0,2022-04-14
call,400.0,4.15,4.35,2022-04-14
call,410.0,3.1,3.25,2022-04-14
call,420.0,2.36,2.48,2022-04-14
call,430.0,1.81,1.92,2022-04-14
call,440.0,1.37,1.55,2022-04-14
call,450.0,1.17,1.29,2022-04-14
call,460.0,0.99,1.08,2022-04-14
call,470.0,0.83,0.94,2022-04-14
call,480.0,0.68,0.79,2022-04-14
call,490.0,0.63,0.7,2022-04-14
call,500.0,0.51,0.61,2022-04-14
puts,145.0,0.17,0.31,2022-04-14
puts,150.0,0.19,0.35,2022-04-14
puts,155.0,0.23,0.39,2022-04-14
puts,160.0,0.27,0.43,2022-04-14
puts,165.0,0.32,0.48,2022-04-14
puts,170.0,0.37,0.54,2022-04-14
puts,175.0,0.42,0.54,2022-04-14
puts,180.0,0.48,0.6,2022-04-14
puts,185.0,0.55,0.66,2022-04-14
puts,190.0,0.61,0.72,2022-04-14
puts,195.0,0.68,0.86,2022-04-14
puts,200.0,0.77,0.94,2022-04-14
puts,205.0,0.85,0.99,2022-04-14
puts,210.0,0.94,1.06,2022-04-14
puts,215.0,1.05,1.22,2022-04-14
puts,220.0,1.16,1.33,2022-04-14
puts,225.0,1.28,1.43,2022-04-14
puts,230.0,1.45,1.6,2022-04-14
puts,235.0,1.58,1.75,2022-04-14
puts,240.0,1.75,1.92,2022-04-14
puts,245.0,1.95,2.13,2022-04-14
puts,250.0,2.26,2.36,2022-04-14
puts,255.0,2.44,2.62,2022-04-14
puts,260.0,2.83,2.93,2022-04-14
puts,265.0,3.1,3.3,2022-04-14
puts,270.0,3.55,3.7,2022-04-14
puts,275.0,4.0,4.15,2022-04-14
puts,280.0,4.5,4.7,2022-04-14
puts,285.0,5.1,5.3,2022-04-14
puts,290.0,5.75,6.0,2022-04-14
puts,295.0,6.45,6.8,2022-04-14
puts,300.0,7.4,7.7,2022-04-14
puts,305.0,8.45,8.7,2022-04-14
puts,310.0,9.65,9.85,2022-04-14
puts,315.0,10.9,11.15,2022-04-14
puts,320.0,12.35,12.55,2022-04-14
puts,325.0,13.95,14.2,2022-04-14
puts,330.0,15.7,15.95,2022-04-14
puts,335.0,17.7,18.15,2022-04-14
puts,340.0,19.9,20.2,2022-04-14
puts,345.0,22.2,22.65,2022-04-14
puts,350.0,24.8,25.25,2022-04-14
puts,355.0,27.7,28.15,2022-04-14
puts,360.0,30.7,31.15,2022-04-14
puts,365.0,34.0,34.35,2022-04-14
puts,370.0,37.45,37.95,2022-04-14
puts,375.0,40.95,41.6,2022-04-14
puts,380.0,44.7,45.2,2022-04-14
puts,385.0,48.75,49.15,2022-04-14
puts,390.0,52.7,53.15,2022-04-14
puts,395.0,57.05,57.75,2022-04-14
puts,400.0,61.0,61.8,2022-04-14
puts,410.0,70.0,71.25,2022-04-14
call,80.0,261.55,263.25,2022-06-17
call,85.0,256.85,258.15,2022-06-17
call,90.0,251.6,253.3,2022-06-17
call,95.0,246.65,248.3,2022-06-17
call,100.0,241.75,243.3,2022-06-17
call,105.0,224.3,228.8,2022-06-17
call,110.0,230.65,233.35,2022-06-17
call,115.0,226.9,228.3,2022-06-17
call,120.0,222.15,223.4,2022-06-17
call,125.0,217.0,218.2,2022-06-17
call,130.0,212.0,213.3,2022-06-17
call,135.0,206.9,208.45,2022-06-17
call,140.0,202.3,203.5,2022-06-17
call,145.0,197.1,198.45,2022-06-17
call,150.0,192.15,193.5,2022-06-17
call,155.0,187.05,188.75,2022-06-17
call,160.0,182.3,184.7,2022-06-17
call,165.0,177.6,178.85,2022-06-17
call,170.0,172.35,174.0,2022-06-17
call,175.0,167.65,169.05,2022-06-17
call,180.0,162.65,163.95,2022-06-17
call,185.0,157.55,159.3,2022-06-17
call,190.0,152.75,154.4,2022-06-17
call,195.0,148.15,149.3,2022-06-17
call,200.0,143.15,145.55,2022-06-17
call,205.0,138.5,139.75,2022-06-17
call,210.0,133.65,134.8,2022-06-17
call,215.0,128.4,130.2,2022-06-17
call,220.0,123.9,125.4,2022-06-17
call,225.0,119.15,120.4,2022-06-17
call,230.0,114.3,115.9,2022-06-17
call,235.0,109.8,110.95,2022-06-17
call,240.0,104.85,106.3,2022-06-17
call,245.0,100.4,101.85,2022-06-17
call,250.0,95.55,98.1,2022-06-17
call,255.0,91.1,92.75,2022-06-17
call,260.0,86.2,87.85,2022-06-17
call,265.0,82.65,84.2,2022-06-17
call,270.0,77.95,79.2,2022-06-17
call,275.0,73.65,74.9,2022-06-17
call,280.0,69.85,70.65,2022-06-17
call,285.0,65.4,66.55,2022-06-17
call,290.0,61.6,63.45,2022-06-17
call,295.0,56.5,59.35,2022-06-17
call,300.0,53.8,54.75,2022-06-17
call,305.0,49.4,50.75,2022-06-17
call,310.0,46.4,47.1,2022-06-17
call,315.0,42.85,43.7,2022-06-17
call,320.0,39.55,40.3,2022-06-17
call,325.0,36.5,37.1,2022-06-17
call,330.0,33.45,33.95,2022-06-17
call,335.0,30.4,31.05,2022-06-17
call,340.0,27.85,28.4,2022-06-17
call,345.0,25.15,25.85,2022-06-17
call,350.0,22.9,23.4,2022-06-17
call,355.0,20.65,21.1,2022-06-17
call,360.0,18.55,19.0,2022-06-17
call,365.0,16.7,17.1,2022-06-17
call,370.0,14.85,15.35,2022-06-17
call,375.0,13.35,13.7,2022-06-17
call,380.0,11.85,12.25,2022-06-17
call,385.0,10.65,10.9,2022-06-17
call,390.0,9.5,9.75,2022-06-17
call,395.0,8.4,8.7,2022-06-17
call,400.0,7.45,7.75,2022-06-17
call,405.0,6.6,6.9,2022-06-17
call,410.0,5.85,6.15,2022-06-17
call,415.0,5.25,5.5,2022-06-17
call,420.0,4.6,4.9,2022-06-17
call,425.0,4.1,4.4,2022-06-17
call,430.0,3.65,3.95,2022-06-17
call,435.0,3.3,3.55,2022-06-17
call,440.0,2.91,3.15,2022-06-17
call,450.0,2.35,2.57,2022-06-17
call,460.0,1.92,2.15,2022-06-17
call,470.0,1.65,1.84,2022-06-17
call,480.0,1.4,1.52,2022-06-17
call,490.0,1.13,1.37,2022-06-17
call,500.0,1.01,1.16,2022-06-17
puts,80.0,0.05,0.14,2022-06-17
puts,85.0,0.1,0.16,2022-06-17
puts,90.0,0.46,0.6,2022-06-17
puts,95.0,0.06,0.85,2022-06-17
puts,100.0,0.09,0.23,2022-06-17
puts,105.0,0.11,0.26,2022-06-17
puts,110.0,0.13,0.29,2022-06-17
puts,115.0,0.18,0.32,2022-06-17
puts,120.0,0.21,0.36,2022-06-17
puts,125.0,0.3,0.4,2022-06-17
puts,130.0,0.32,0.45,2022-06-17
puts,135.0,0.36,0.56,2022-06-17
puts,140.0,0.4,0.55,2022-06-17
puts,145.0,0.46,0.61,2022-06-17
puts,150.0,0.52,0.68,2022-06-17
puts,155.0,0.59,0.75,2022-06-17
puts,160.0,0.66,0.83,2022-06-17
puts,165.0,0.74,0.91,2022-06-17
puts,170.0,0.82,1.0,2022-06-17
puts,175.0,0.91,1.1,2022-06-17
puts,180.0,1.0,1.2,2022-06-17
puts,185.0,1.11,1.31,2022-06-17
puts,190.0,1.22,1.43,2022-06-17
puts,195.0,1.34,1.53,2022-06-17
puts,200.0,1.48,1.69,2022-06-17
puts,205.0,1.63,1.82,2022-06-17
puts,210.0,1.79,2.0,2022-06-17
puts,215.0,1.97,2.19,2022-06-17
puts,220.0,2.18,2.4,2022-06-17
puts,225.0,2.4,2.62,2022-06-17
puts,230.0,2.65,2.88,2022-06-17
puts,235.0,2.93,3.2,2022-06-17
puts,240.0,3.25,3.55,2022-06-17
puts,245.0,3.6,3.85,2022-06-17
puts,250.0,4.0,4.3,2022-06-17
puts,255.0,4.45,4.7,2022-06-17
puts,260.0,4.95,5.2,2022-06-17
puts,265.0,5.5,5.8,2022-06-17
puts,270.0,6.1,6.45,2022-06-17
puts,275.0,6.75,7.1,2022-06-17
puts,280.0,7.6,7.95,2022-06-17
puts,285.0,8.4,8.8,2022-06-17
puts,290.0,9.35,9.75,2022-06-17
puts,295.0,10.45,10.75,2022-06-17
puts,300.0,11.55,11.9,2022-06-17
puts,305.0,12.8,13.15,2022-06-17
puts,310.0,14.15,14.55,2022-06-17
puts,315.0,15.7,16.1,2022-06-17
puts,320.0,17.35,17.65,2022-06-17
puts,325.0,19.15,19.5,2022-06-17
puts,330.0,21.05,21.6,2022-06-17
puts,335.0,23.1,23.65,2022-06-17
puts,340.0,25.35,25.85,2022-06-17
puts,345.0,27.85,28.35,2022-06-17
puts,350.0,30.45,31.05,2022-06-17
puts,355.0,33.1,33.5,2022-06-17
puts,360.0,36.15,36.65,2022-06-17
puts,365.0,39.15,39.85,2022-06-17
puts,370.0,42.45,42.85,2022-06-17
puts,375.0,45.8,46.15,2022-06-17
puts,380.0,49.3,49.8,2022-06-17
puts,385.0,53.05,53.4,2022-06-17
puts,390.0,56.8,57.35,2022-06-17
puts,395.0,88.4,89.85,2022-06-17
puts,400.0,64.8,65.3,2022-06-17
puts,405.0,68.8,69.5,2022-06-17
puts,410.0,73.05,74.1,2022-06-17
puts,415.0,89.5,91.3,2022-06-17
puts,420.0,121.55,122.45,2022-06-17
puts,435.0,144.95,149.5,2022-06-17
call,190.0,152.5,154.65,2022-07-15
call,300.0,55.45,57.55,2022-07-15
call,305.0,51.45,52.3,2022-07-15
call,310.0,48.1,48.7,2022-07-15
call,315.0,44.5,45.3,2022-07-15
call,320.0,40.75,43.25,2022-07-15
call,325.0,38.2,38.85,2022-07-15
call,335.0,32.25,33.95,2022-07-15
call,340.0,28.6,30.2,2022-07-15
call,345.0,26.8,27.65,2022-07-15
call,350.0,23.45,25.2,2022-07-15
call,355.0,22.1,22.9,2022-07-15
call,360.0,20.3,20.8,2022-07-15
call,365.0,18.35,18.95,2022-07-15
call,370.0,16.5,17.25,2022-07-15
call,375.0,14.9,15.8,2022-07-15
call,380.0,13.4,13.9,2022-07-15
call,390.0,10.75,11.25,2022-07-15
call,400.0,8.6,9.1,2022-07-15
call,410.0,6.9,7.4,2022-07-15
call,460.0,2.34,2.62,2022-07-15
puts,240.0,3.9,4.15,2022-07-15
puts,245.0,4.25,4.9,2022-07-15
puts,250.0,4.75,5.05,2022-07-15
puts,275.0,7.7,9.05,2022-07-15
puts,280.0,8.5,9.15,2022-07-15
puts,285.0,9.2,10.9,2022-07-15
puts,290.0,9.85,11.0,2022-07-15
puts,295.0,11.65,12.85,2022-07-15
puts,300.0,12.8,13.85,2022-07-15
puts,320.0,18.7,19.25,2022-07-15
puts,325.0,20.6,21.1,2022-07-15
puts,335.0,24.6,25.2,2022-07-15
puts,340.0,26.85,27.65,2022-07-15
puts,345.0,29.3,30.4,2022-07-15
puts,350.0,31.9,32.5,2022-07-15
puts,430.0,90.55,92.7,2022-07-15
call,80.0,261.9,263.25,2022-09-16
call,85.0,256.9,258.3,2022-09-16
call,90.0,251.95,253.15,2022-09-16
call,95.0,207.35,210.65,2022-09-16
call,100.0,241.7,243.4,2022-09-16
call,105.0,236.85,238.3,2022-09-16
call,110.0,231.9,233.4,2022-09-16
call,115.0,227.0,228.35,2022-09-16
call,120.0,222.05,223.5,2022-09-16
call,125.0,216.85,218.6,2022-09-16
call,130.0,212.25,213.45,2022-09-16
call,135.0,206.45,208.7,2022-09-16
call,140.0,202.05,203.65,2022-09-16
call,145.0,197.1,198.65,2022-09-16
call,150.0,192.45,193.75,2022-09-16
call,155.0,187.65,188.85,2022-09-16
call,160.0,182.85,184.0,2022-09-16
call,165.0,177.55,179.1,2022-09-16
call,170.0,171.75,175.4,2022-09-16
